line_number,context,original_text_portuguese,category,priority,special_note,character_count
1272,primeiro_encounter_51,Zero forçação. Pura sintonia.,poetic phrase,alta,,27
1272,primeiro_encounter_52,Primeiro capítulo.,poetic phrase,alta,,17
1273,primeiro_encounter_53,O mundo ficou menor.,poetic phrase,alta,,21
1273,primeiro_encounter_54,Coincidência? Talvez não.,poetic phrase,alta,,24
1274,primeiro_encounter_55,Conexão registrada. Pra sempre.,poetic phrase,alta,,29
1274,primeiro_encounter_56,Caminhos que se cruzam.,poetic phrase,alta,,23
1275,primeiro_encounter_57,Nem precisou de palavras.,poetic phrase,alta,,24
1275,primeiro_encounter_58,O universo apresentou vocês.,poetic phrase,alta,,28
1276,primeiro_encounter_59,Um toque vale mil follows.,poetic phrase,alta,social media reference,28
1276,primeiro_encounter_60,Estranhos com afinidade.,poetic phrase,alta,,21
1277,primeiro_encounter_61,Sem script. Funcionou.,poetic phrase,alta,,20
1277,primeiro_encounter_62,O acaso tem bom gosto.,poetic phrase,alta,,22
1278,primeiro_encounter_63,Duas órbitas um ponto.,poetic phrase,alta,,22
1278,primeiro_encounter_64,Encontro não planejado. O melhor tipo.,poetic phrase,alta,,40
1279,primeiro_encounter_65,A vida real surpreende.,poetic phrase,alta,,20
1279,primeiro_encounter_66,Ninguém esperava. Todos sentiram.,poetic phrase,alta,,28
1280,primeiro_encounter_67,Presentes no mesmo instante.,poetic phrase,alta,,25
1280,primeiro_encounter_68,Cruzaram no momento certo.,poetic phrase,alta,,24
1281,primeiro_encounter_69,Surpresa bem-vinda.,poetic phrase,alta,,18
1281,primeiro_encounter_70,Timing perfeito.,poetic phrase,alta,,15
1285,reencontro2_1,De novo vocês.,poetic phrase,alta,,15
1285,reencontro2_2,Não foi coincidência.,poetic phrase,alta,,20
1285,reencontro2_3,O destino insiste.,poetic phrase,alta,,17
1286,reencontro2_4,Segundo round.,poetic phrase,alta,,13
1286,reencontro2_5,A vida juntou de novo.,poetic phrase,alta,,19
1286,reencontro2_6,Parece que gostaram.,poetic phrase,alta,,18
1287,reencontro2_7,Voltaram. Bom sinal.,poetic phrase,alta,,18
1287,reencontro2_8,O universo repetiu.,poetic phrase,alta,,17
1287,reencontro2_9,Reencontro confirmado.,poetic phrase,alta,,19
1288,reencontro2_10,Dois toques. Zero dúvida.,poetic phrase,alta,,21
1288,reencontro2_11,De volta ao jogo.,poetic phrase,alta,,15
1288,reencontro2_12,Repetição com propósito.,poetic phrase,alta,,21
1289,reencontro2_13,Já era esperado.,poetic phrase,alta,,14
1290,reencontro2_14,Pois é. De novo.,poetic phrase,alta,,14
1290,reencontro2_15,Sem surpresa. Com alegria.,poetic phrase,alta,,22
1290,reencontro2_16,Quem diria... de novo.,poetic phrase,alta,,19
1290,reencontro2_17,A sintonia continua.,poetic phrase,alta,,18
1291,reencontro2_18,Reencontro merecido.,poetic phrase,alta,,18
1291,reencontro2_19,Parece que funciona.,poetic phrase,alta,,18
1291,reencontro2_20,Segundo capítulo.,poetic phrase,alta,,15
1291,reencontro2_21,O vínculo fortaleceu.,poetic phrase,alta,,18
1292,reencontro2_22,Não foi à toa da primeira vez.,poetic phrase,alta,,30
1292,reencontro2_23,De novo? De novo.,poetic phrase,alta,,14
1293,reencontro2_24,O toque lembrou.,poetic phrase,alta,,15
1293,reencontro2_25,Continuação natural.,poetic phrase,alta,,17
1293,reencontro2_26,A conexão pediu mais.,poetic phrase,alta,,20
1294,reencontro2_27,Reencontro com gosto de 'eu sabia'.,poetic phrase,alta,,35
1294,reencontro2_28,Duas vezes não é acaso.,poetic phrase,alta,,22
1295,reencontro2_29,Voltaram com mais certeza.,poetic phrase,alta,,22
1295,reencontro2_30,O primeiro touch pediu bis.,poetic phrase,alta,,22
1299,reencontro3a5_1,Esses são chegados.,poetic phrase,alta,,17
1299,reencontro3a5_2,Já virou rotina boa.,poetic phrase,alta,,17
1299,reencontro3a5_3,Amizade em construção.,poetic phrase,alta,,19
1300,reencontro3a5_4,Terceira vez. Já conta como amigo.,poetic phrase,alta,,32
1300,reencontro3a5_5,Vínculo em andamento.,poetic phrase,alta,,17
1301,reencontro3a5_6,Vocês não desgrudam.,poetic phrase,alta,,17
1301,reencontro3a5_7,Relação que cresce.,poetic phrase,alta,,17
1301,reencontro3a5_8,Já são parte da paisagem um do outro.,poetic phrase,alta,,39
1302,reencontro3a5_9,Trio de encontros. Cumplicidade.,poetic phrase,alta,,26
1302,reencontro3a5_10,Relação real confirmada.,poetic phrase,alta,,20
1303,reencontro3a5_11,Quem encontra 3 vezes fica.,poetic phrase,alta,,23
1303,reencontro3a5_12,Consistência. O segredo do vínculo.,poetic phrase,alta,,30
1304,reencontro3a5_13,Presença constante.,poetic phrase,alta,,16
1304,reencontro3a5_14,Esses se conhecem de verdade.,poetic phrase,alta,,23
1305,reencontro3a5_15,Mais que conhecidos. Menos que irmãos. Por enquanto.,poetic phrase,alta,,46
1305,reencontro3a5_16,Se veem tanto que já é rotina.,poetic phrase,alta,,27
1306,reencontro3a5_17,Frequência de quem se gosta.,poetic phrase,alta,,24
1307,reencontro3a5_18,O touch virou hábito.,poetic phrase,alta,,17
1307,reencontro3a5_19,Já nem precisa de motivo.,poetic phrase,alta,,19
1308,reencontro3a5_20,Encontro número e tanto. Quem conta?,poetic phrase,alta,,31
1308,reencontro3a5_21,Relação que já tem história.,poetic phrase,alta,,24
1309,reencontro3a5_22,Esses vivem juntos.,poetic phrase,alta,,16
1309,reencontro3a5_23,A constelação agradece.,poetic phrase,alta,,20
1310,reencontro3a5_24,Firmes. Presentes. Juntos.,poetic phrase,alta,,21
1310,reencontro3a5_25,Laço real em formação.,poetic phrase,alta,,19
1311,reencontro3a5_26,Eles de novo. E a gente adorando.,poetic phrase,alta,,28
1311,reencontro3a5_27,Os inseparáveis.,poetic phrase,alta,,16
1312,reencontro3a5_28,Já são parte da constelação um do outro.,poetic phrase,alta,,38
1312,reencontro3a5_29,Vínculo que o tempo prova.,poetic phrase,alta,,22
1313,reencontro3a5_30,Se perderam se acharam de novo.,poetic phrase,alta,,28
1313,reencontro3a5_31,Consistência é o novo like.,poetic phrase,alta,,23
1317,reencontro6a10_1,Isso aqui já é família.,poetic phrase,alta,,20
1317,reencontro6a10_2,Dupla imbatível.,poetic phrase,alta,,15
1317,reencontro6a10_3,Encontro de veteranos.,poetic phrase,alta,,18
1318,reencontro6a10_4,Conexão blindada.,poetic phrase,alta,,16
1318,reencontro6a10_5,Relação que não precisa de wi-fi.,poetic phrase,alta,,27
1319,reencontro6a10_6,Vocês são prova de que presença importa.,poetic phrase,alta,,35
1319,reencontro6a10_7,Os fiéis.,poetic phrase,alta,,9
1319,reencontro6a10_8,Se o touch tivesse prêmio era de vocês.,poetic phrase,alta,,31
1320,reencontro6a10_9,Parceria sólida.,poetic phrase,alta,,16
1320,reencontro6a10_10,Nível: melhores amigos.,poetic phrase,alta,,20
1321,reencontro6a10_11,Laço que ninguém corta.,poetic phrase,alta,,21
1322,reencontro6a10_12,Juntos de novo. Como sempre.,poetic phrase,alta,,21
1322,reencontro6a10_13,A rotina mais bonita.,poetic phrase,alta,,18
1322,reencontro6a10_14,Quem dera todo mundo tivesse isso.,poetic phrase,alta,,28
1323,reencontro6a10_15,Relação real. Sem filtro. Sem prazo.,poetic phrase,alta,,32
1324,reencontro6a10_16,Os que sempre se encontram.,poetic phrase,alta,,24
1324,reencontro6a10_17,Amizade nível estrela.,poetic phrase,alta,,18
1325,reencontro6a10_18,Isso não é encontro. É compromisso.,poetic phrase,alta,,35
1325,reencontro6a10_19,Presença garantida.,poetic phrase,alta,,16
1325,reencontro6a10_20,Vocês redefinem proximidade.,poetic phrase,alta,,22
1326,reencontro6a10_21,Relação que inspira.,poetic phrase,alta,,18
1326,reencontro6a10_22,Os que provam que o físico importa.,poetic phrase,alta,,31
1327,reencontro6a10_23,Touch level: expert.,poetic phrase,alta,,16
1327,reencontro6a10_24,Referência de conexão real.,poetic phrase,alta,,22
1328,reencontro6a10_25,Esses dois... inseparáveis.,poetic phrase,alta,,21
1328,reencontro6a10_26,Encontro marcado pela vida.,poetic phrase,alta,,23
1329,reencontro6a10_27,Consistência que emociona.,poetic phrase,alta,,21
1329,reencontro6a10_28,Amizade que a constelação celebra.,poetic phrase,alta,,29
1330,reencontro6a10_29,Frequência de irmãos.,poetic phrase,alta,,17
1331,reencontro6a10_30,Vocês são o motivo do Touch existir.,poetic phrase,alta,,30
1335,reencontro11_1,Lendários.,poetic phrase,alta,,10
1335,reencontro11_2,Relação que virou referência.,poetic phrase,alta,,24
1335,reencontro11_3,Vocês são o Touch.,poetic phrase,alta,,17
1336,reencontro11_4,A constelação gira em torno disso.,poetic phrase,alta,,29
1336,reencontro11_5,Os eternos.,poetic phrase,alta,,11
1337,reencontro11_6,Se existisse um hall da fama vocês estariam lá.,poetic phrase,alta,,40
1337,reencontro11_7,Conexão nível: patrimônio.,poetic phrase,alta,,23
1338,reencontro11_8,Mais que amigos. Constelação.,poetic phrase,alta,,21
1338,reencontro11_9,Relação que merecia documentário.,poetic phrase,alta,,28
1339,reencontro11_10,Vocês transcenderam o app.,poetic phrase,alta,,21
1339,reencontro11_11,Não precisa mais de pontos. Já é estrela.,poetic phrase,alta,,36
1340,reencontro11_12,Os imbatíveis.,poetic phrase,alta,,13
1340,reencontro11_13,Encontro número... perdemos a conta.,poetic phrase,alta,,30
1341,reencontro11_14,Lenda viva.,poetic phrase,alta,,11
1341,reencontro11_15,Relação que a cidade conhece.,poetic phrase,alta,,24
1342,reencontro11_16,Juntos até a última órbita.,poetic phrase,alta,,24
1342,reencontro11_17,Influenciadores físicos de verdade.,poetic phrase,alta,,28
1343,reencontro11_18,Top do Touch. Sem contestação.,poetic phrase,alta,,23
1343,reencontro11_19,Vocês são inspiração pra quem começa.,poetic phrase,alta,,30
1344,reencontro11_20,Conexão que virou história.,poetic phrase,alta,,22
1345,reencontro11_21,Se o Touch fosse livro vocês seriam o capítulo principal.,poetic phrase,alta,,48
1345,reencontro11_22,Parceria que desafia o tempo.,poetic phrase,alta,,25
1346,reencontro11_23,Eternos na constelação.,poetic phrase,alta,,18
1346,reencontro11_24,Isso aqui não é app. É vida.,poetic phrase,alta,,21
1347,reencontro11_25,Os que nunca param de se encontrar.,poetic phrase,alta,,31
1347,reencontro11_26,Relação intocável.,poetic phrase,alta,,16
1348,reencontro11_27,Amizade com todas as estrelas.,poetic phrase,alta,,24
1348,reencontro11_28,Juntos do começo ao fim.,poetic phrase,alta,,20
1349,reencontro11_29,Referência absoluta.,poetic phrase,alta,,17
1350,reencontro11_30,A definição de conexão real.,poetic phrase,alta,,21
1354,geral_1,Conexão com propósito.,poetic phrase,alta,,21
1354,geral_2,Visões que se somam.,poetic phrase,alta,,19
1354,geral_3,O próximo passo.,poetic phrase,alta,,14
1355,geral_4,Energia que gera.,poetic phrase,alta,,15
1355,geral_5,Ideias em colisão.,poetic phrase,alta,,17
1355,geral_6,Resultado no ar.,poetic phrase,alta,,14
1355,geral_7,Juntos vão mais longe.,poetic phrase,alta,,17
1356,geral_8,Cor e textura.,poetic phrase,alta,,12
1356,geral_9,Fora da caixa juntos.,poetic phrase,alta,,15
1357,geral_10,Inspiração mútua.,poetic phrase,alta,,16
1357,geral_11,Colisão de ideias.,poetic phrase,alta,,16
1357,geral_12,Criatividade contagiosa.,poetic phrase,alta,,19
1358,geral_13,Cores diferentes funcionam.,poetic phrase,alta,,21
1358,geral_14,Invenção no ar.,poetic phrase,alta,,14
1358,geral_15,Imaginação dobrada.,poetic phrase,alta,,16
1359,geral_16,Antes e depois.,poetic phrase,alta,,13
1359,geral_17,Tensão bonita.,poetic phrase,alta,,13
1359,geral_18,Coragem de continuar.,poetic phrase,alta,,17
1360,geral_19,O silêncio já basta.,poetic phrase,alta,,16
1360,geral_20,Amizade sem introdução.,poetic phrase,alta,,20
1361,geral_21,Momento presente. Pessoas reais.,poetic phrase,alta,,24
1361,geral_22,O melhor algoritmo é o acaso.,poetic phrase,alta,,26
1361,geral_23,Nenhum feed mostra isso.,poetic phrase,alta,,17
1362,geral_24,Isso aqui é ao vivo.,poetic phrase,alta,,15
1362,geral_25,Sem replay. Só o momento.,poetic phrase,alta,,19
1362,geral_26,O encontro é o conteúdo.,poetic phrase,alta,,21
1363,geral_27,A vida offline tem mais resolução.,poetic phrase,alta,,28
1364,geral_28,Presente no presente.,poetic phrase,alta,,16
1364,geral_29,O real não precisa de legenda.,poetic phrase,alta,,25
1365,geral_30,Aconteceu de verdade.,poetic phrase,alta,,16
1365,geral_31,Memória que nenhuma nuvem guarda.,poetic phrase,alta,,28
1366,geral_32,Touch > scroll.,poetic phrase,alta,social media reference,13
1366,geral_33,O melhor post é estar aqui.,poetic phrase,alta,social media reference,25
1367,geral_34,Fora da bolha. No mundo.,poetic phrase,alta,,17
1368,geral_35,Presença é a rede social mais rara.,poetic phrase,alta,social media reference,31
1368,geral_36,A melhor notificação é um abraço.,poetic phrase,alta,,25
1369,geral_37,Onde o sinal acaba a conexão começa.,poetic phrase,alta,,29
1369,geral_38,Viver > assistir.,poetic phrase,alta,social media reference,13
1370,geral_39,O toque que nenhuma tela substitui.,poetic phrase,alta,technology critique,27
1370,geral_40,Offline nunca foi tão bom.,poetic phrase,alta,,19
1374,evento_1,Check-in com estilo.,poetic phrase,media,,15
1374,evento_2,Presente no rolê.,poetic phrase,media,,15
1374,evento_3,A noite começou.,poetic phrase,media,,13
1375,evento_4,Entrou na história do evento.,poetic phrase,media,,24
1375,evento_5,O rolê ficou melhor.,poetic phrase,media,,16
1375,evento_6,Presença confirmada.,poetic phrase,media,,17
1376,evento_7,Chegou quem faltava.,poetic phrase,media,,18
1376,evento_8,A festa agradece.,poetic phrase,media,,14
1376,evento_9,Mais um na pista.,poetic phrase,media,,14
1377,evento_10,O evento acaba de começar pra você.,poetic phrase,media,,31
1378,evento_11,Registrado. Agora aproveita.,poetic phrase,media,,20
1378,evento_12,A energia subiu.,poetic phrase,media,,13
1378,evento_13,Bem-vindo ao momento.,poetic phrase,media,,17
1378,evento_14,O rolê é real.,poetic phrase,media,,12
1379,evento_15,Check-in feito. Lembranças garantidas.,poetic phrase,media,,29
1383,servico_1,Gratidão registrada.,poetic phrase,media,,16
1383,servico_2,O serviço merece reconhecimento.,poetic phrase,media,,27
1384,servico_3,Valorizar quem faz bem.,poetic phrase,media,,18
1384,servico_4,Gorjeta de quem sentiu.,poetic phrase,media,,18
1384,servico_5,O trabalho foi notado.,poetic phrase,media,,18
1385,servico_6,Presença que valoriza.,poetic phrase,media,,18
1385,servico_7,Reconhecimento merecido.,poetic phrase,media,,20
1386,servico_8,Obrigado pelo serviço.,poetic phrase,media,,17
1387,servico_9,Conexão profissional gratidão real.,poetic phrase,media,,29
1387,servico_10,O gesto vale mais que o valor.,poetic phrase,media,,27
1450,zodiac_fogo_fogo_1,duas chamas que se reconhecem no escuro.,zodiac phrase,alta,metaphor,40
1451,zodiac_fogo_fogo_2,isso não se apaga com facilidade.,zodiac phrase,alta,metaphor,32
1452,zodiac_fogo_fogo_3,vocês ardem na mesma direção.,zodiac phrase,alta,metaphor,29
1453,zodiac_fogo_fogo_4,fogo encontra fogo — e o mundo esquenta.,zodiac phrase,alta,metaphor,38
1454,zodiac_fogo_fogo_5,nenhum dos dois sabe ir devagar.,zodiac phrase,alta,metaphor,31
1456,zodiac_fogo_fogo_6,combustão bonita.,zodiac phrase,alta,metaphor,16
1459,zodiac_fogo_ar_1,o vento sopra — e a chama cresce.,zodiac phrase,alta,metaphor,33
1460,zodiac_fogo_ar_2,leveza que encontra coragem.,zodiac phrase,alta,metaphor,26
1461,zodiac_fogo_ar_3,vocês se movem rápido e com propósito.,zodiac phrase,alta,metaphor,36
1462,zodiac_fogo_ar_4,o ar alimenta o que o fogo ilumina.,zodiac phrase,alta,metaphor,38
1463,zodiac_fogo_ar_5,inspiração e ação no mesmo gesto.,zodiac phrase,alta,metaphor,34
1464,zodiac_fogo_ar_6,juntos criam tempestade bonita.,zodiac phrase,alta,metaphor,26
1467,zodiac_fogo_terra_1,a chama aquece o chão. o chão sustenta a chama.,zodiac phrase,alta,metaphor,49
1468,zodiac_fogo_terra_2,tensão que constrói.,zodiac phrase,alta,metaphor,20
1469,zodiac_fogo_terra_3,paixão que aprende paciência.,zodiac phrase,alta,metaphor,29
1470,zodiac_fogo_terra_4,opostos que se precisam.,zodiac phrase,alta,metaphor,24
1471,zodiac_fogo_terra_5,a firmeza acalma. o calor transforma.,zodiac phrase,alta,metaphor,36
1472,zodiac_fogo_terra_6,nada disso é óbvio — e é por isso que funciona.,zodiac phrase,alta,metaphor,48
1475,zodiac_fogo_agua_1,vapor. quando se encontram algo muda de estado.,zodiac phrase,alta,metaphor,44
1476,zodiac_fogo_agua_2,o fogo ilumina. a água aprofunda.,zodiac phrase,alta,metaphor,34
1477,zodiac_fogo_agua_3,encontro que transforma os dois.,zodiac phrase,alta,metaphor,29
1478,zodiac_fogo_agua_4,intensidade e sensibilidade no mesmo instante.,zodiac phrase,alta,metaphor,42
1479,zodiac_fogo_agua_5,nada aqui é superficial.,zodiac phrase,alta,metaphor,23
1480,zodiac_fogo_agua_6,isso vai deixar marca.,zodiac phrase,alta,metaphor,18
1483,zodiac_terra_terra_1,dois pés no chão. um silêncio que basta.,zodiac phrase,alta,metaphor,42
1484,zodiac_terra_terra_2,raiz encontra raiz — cresce devagar mas forte.,zodiac phrase,alta,metaphor,44
1485,zodiac_terra_terra_3,vocês se entendem sem explicar.,zodiac phrase,alta,metaphor,28
1486,zodiac_terra_terra_4,juntos são montanha.,zodiac phrase,alta,metaphor,18
1487,zodiac_terra_terra_5,a confiança já estava ali antes do gesto.,zodiac phrase,alta,metaphor,38
1488,zodiac_terra_terra_6,solidez rara.,zodiac phrase,alta,metaphor,13
1491,zodiac_terra_ar_1,o sonho encontra o concreto.,zodiac phrase,alta,metaphor,26
1492,zodiac_terra_ar_2,a terra respira quando o ar chega.,zodiac phrase,alta,metaphor,33
1493,zodiac_terra_ar_3,pensamento e ação no mesmo movimento.,zodiac phrase,alta,metaphor,34
1494,zodiac_terra_ar_4,um expande o que o outro sustenta.,zodiac phrase,alta,metaphor,35
1495,zodiac_terra_ar_5,a leveza não diminui a força — amplifica.,zodiac phrase,alta,metaphor,37
1496,zodiac_terra_ar_6,equilíbrio entre voar e permanecer.,zodiac phrase,alta,metaphor,31
1499,zodiac_terra_agua_1,a água nutre. a terra acolhe.,zodiac phrase,alta,metaphor,26
1500,zodiac_terra_agua_2,conexão que faz florescer.,zodiac phrase,alta,metaphor,25
1501,zodiac_terra_agua_3,cuidado manifesto no gesto.,zodiac phrase,alta,metaphor,25
1502,zodiac_terra_agua_4,profundidade encontra segurança.,zodiac phrase,alta,metaphor,28
1503,zodiac_terra_agua_5,juntos criam um jardim.,zodiac phrase,alta,metaphor,20
1504,zodiac_terra_agua_6,isso cresce naturalmente.,zodiac phrase,alta,metaphor,19
1507,zodiac_ar_ar_1,ar encontra ar — liberdade compartilhada.,zodiac phrase,alta,metaphor,36
1508,zodiac_ar_ar_2,conversa sem fim. e sem necessidade de fim.,zodiac phrase,alta,metaphor,45
1509,zodiac_ar_ar_3,duas mentes que voam juntas.,zodiac phrase,alta,metaphor,28
1510,zodiac_ar_ar_4,nada disso gosta de ficar parado.,zodiac phrase,alta,metaphor,29
1511,zodiac_ar_ar_5,juntos pensam mais longe.,zodiac phrase,alta,metaphor,22
1512,zodiac_ar_ar_6,movimento é a linguagem de vocês.,zodiac phrase,alta,metaphor,30
1514,zodiac_agua_agua_1,dois oceanos. profundidade infinita.,zodiac phrase,alta,metaphor,31
1524,zodiac_agua_agua_2,vocês sentem o que o outro não diz.,zodiac phrase,alta,metaphor,36
1525,zodiac_agua_agua_3,corrente que une sem esforço.,zodiac phrase,alta,metaphor,28
1526,zodiac_agua_agua_4,intuição compartilhada.,zodiac phrase,alta,metaphor,20
1527,zodiac_agua_agua_5,juntos mergulham mais fundo.,zodiac phrase,alta,metaphor,27
1528,zodiac_agua_agua_6,silêncio que comunica tudo.,zodiac phrase,alta,metaphor,26
75,error_rate_limit_general,Muitas requisições. Tente novamente em alguns minutos.,error message,alta,user-facing,57
81,error_rate_limit_auth,Muitas tentativas de autenticação. Aguarde 15 minutos.,error message,alta,user-facing,67
87,error_rate_limit_payment,Muitas tentativas de pagamento. Aguarde alguns minutos.,error message,alta,user-facing,65
93,error_rate_limit_admin,Rate limit atingido nos endpoints admin.,error message,alta,user-facing,42
99,error_rate_limit_mural,Muitas requisicoes ao mural. Aguarde.,error message,alta,user-facing,40
105,error_rate_limit_va,Muitas chamadas ao assistente. Aguarde alguns minutos.,error message,alta,user-facing,60
130,error_db_loading,Servidor iniciando aguarde...,error message,alta,user-facing,28
181,error_userid_required,userId obrigatorio.,error message,alta,user-facing,16
215,error_auth_denied,Acesso negado. Autenticacao necessaria.,error message,alta,user-facing,42
245,error_admin_denied,Acesso negado. Autenticação admin necessária.,error message,alta,user-facing,44
1062,error_email_not_found,Email não cadastrado. Crie uma conta primeiro.,error message,alta,user-facing,46
1063,error_magic_link,Erro ao gerar link.,error message,alta,user-facing,19
1090,error_auth_email_issues,Email não cadastrado.|Email inválido.,error message,alta,user-facing,40
1825,error_invalid_user,Usuário inválido.,error message,alta,user-facing,16
1841,error_invalid_link,Link inválido.,error message,alta,user-facing,14
1849,error_invalid_data,Dados inválidos.,error message,alta,user-facing,14
1851,error_invalid_code,Código inválido.,error message,alta,user-facing,15
1853,error_nick_length,Nickname: 2 a 20 caracteres.,error message,alta,user-facing,27
1864,error_self_touch,Não pode dar touch em si mesmo.,error message,alta,user-facing,30
1993,error_required_fields,Campos obrigatórios faltando.,error message,alta,user-facing,28
1995,error_nick_length_registration,Nickname deve ter 2 a 20 caracteres.,error message,alta,user-facing,37
1996,error_nick_chars,Só letras números _ . -,error message,alta,user-facing,22
2003,error_nick_exists,Esse nickname já existe.,error message,alta,user-facing,27
2043,error_timezone_required,userId e timezone obrigatorios,error message,alta,user-facing,33
2045,error_user_not_found,Usuario nao encontrado,error message,alta,user-facing,23
2050,error_invalid_timezone,Timezone invalido: ,error message,alta,user-facing,19
2059,error_invalid_user_session,Usuário inválido.,error message,alta,user-facing,16
2076,error_session_not_found,Sessão não encontrada ou expirada.,error message,alta,user-facing,40
2077,error_self_touch_session,Você não pode dar touch em si mesmo.,error message,alta,user-facing,35
2095,error_duplicate_checkin,Você já fez check-in neste evento!,error message,alta,user-facing,38
2252,error_session_404,Sessão não encontrada.,error message,alta,user-facing,25
6017,error_payment_incomplete,Dados incompletos.,error message,alta,user-facing,17
6020,error_payer_not_found,Pagador não encontrado.,error message,alta,user-facing,25
6023,error_receiver_not_found,Destinatário não encontrado.,error message,alta,user-facing,29
6026,error_tip_amount_range,Valor entre R$1 e R$500.,error message,alta,user-facing,26
6032,error_email_required,Informe seu email para continuar.,error message,alta,user-facing,36
6035,error_cpf_required,Informe seu CPF para continuar.,error message,alta,user-facing,34
6041,error_mp_not_configured,Sistema de pagamento não configurado. Configure MP_ACCESS_TOKEN.,error message,alta,user-facing,73
6109,error_payment_registration,Erro de cadastro no pagamento. Tente novamente com os dados corretos.,error message,alta,user-facing,75
6111,error_card_token_invalid,Token do cartao invalido ou expirado. Tente novamente.,error message,alta,user-facing,67
6113,error_mp_credentials,Credenciais do Mercado Pago invalidas. Contate o suporte.,error message,alta,user-facing,70
6115,error_email_invalid,Email invalido. Atualize seu email no perfil.,error message,alta,user-facing,52
6117,error_payment_generic,Erro no pagamento: ,error message,alta,user-facing,19
6594,error_userid_required_sub,userId obrigatorio.,error message,alta,user-facing,16
6595,error_login_again,Usuario nao encontrado. Faca login novamente.,error message,alta,user-facing,48
6596,error_token_required,Token do cartao e obrigatorio.,error message,alta,user-facing,35
6597,error_mp_not_configured_sub,Sistema de pagamento nao configurado. Verifique as credenciais.,error message,alta,user-facing,73
